Make it json ready  so that Cursor can process in a single chat window
OBJECTID	ID_0	ISO	NAME_0	ID_1	NAME_1	ID_2	NAME_2	ID_3	NAME_3	CCN_3	CCA_3	TYPE_3	ENGTYPE_3	NL_NAME_3	VARNAME_3	ORIG_FID	Latitude_N	Longitude_E 
29	105	IND	India	2	Andhra Pradesh	6	East Godavari	29	Peddapuram	0	 	Taluk	Taluk	 	 	28	17.12785992	82.04543356
30	105	IND	India	2	Andhra Pradesh	6	East Godavari	30	Pithapuram	0	 	Taluk	Taluk	 	 	29	17.14158966	82.2870849
31	105	IND	India	2	Andhra Pradesh	6	East Godavari	31	Prathipadu	0	 	Taluk	Taluk	 	 	30	17.33964809	82.26775379
32	105	IND	India	2	Andhra Pradesh	6	East Godavari	32	Rajahmundry	0	 	Taluk	Taluk	 	 	31	17.10107945	81.82349629
33	105	IND	India	2	Andhra Pradesh	6	East Godavari	33	Ramachandrapuram	0	 	Taluk	Taluk	 	 	32	16.818703	81.97460455
34	105	IND	India	2	Andhra Pradesh	6	East Godavari	34	Rampa Chodavaram	0	 	Taluk	Taluk	 	 	33	17.51855539	81.70682951
35	105	IND	India	2	Andhra Pradesh	6	East Godavari	35	Razole	0	 	Taluk	Taluk	 	 	34	16.44039966	81.84204139
36	105	IND	India	2	Andhra Pradesh	6	East Godavari	36	Tuni	0	 	Taluk	Taluk	 	 	35	17.28433785	82.47098923
37	105	IND	India	2	Andhra Pradesh	7	Guntur	37	Bapatla	0	 	Taluk	Taluk	 	 	36	15.99751923	80.52917862
38	105	IND	India	2	Andhra Pradesh	7	Guntur	38	Guntur	0	 	Taluk	Taluk	 	 	37	16.35407045	80.44011018
39	105	IND	India	2	Andhra Pradesh	7	Guntur	39	Guruzala	0	 	Taluk	Taluk	 	 	38	16.47514646	79.56562088
40	105	IND	India	2	Andhra Pradesh	7	Guntur	40	Narasaraopet	0	 	Taluk	Taluk	 	 	39	16.20568995	80.05799445
41	105	IND	India	2	Andhra Pradesh	7	Guntur	41	Repalle	0	 	Taluk	Taluk	 	 	40	15.96992826	80.76401351
42	105	IND	India	2	Andhra Pradesh	7	Guntur	42	Sattenapalle	0	 	Taluk	Taluk	 	 	41	16.49293746	80.11752896
43	105	IND	India	2	Andhra Pradesh	7	Guntur	43	Tenali	0	 	Taluk	Taluk	 	 	42	16.2149275	80.66780001
44	105	IND	India	2	Andhra Pradesh	7	Guntur	44	Vinukonda	0	 	Taluk	Taluk	 	 	43	16.11888153	79.71430028
45	105	IND	India	2	Andhra Pradesh	8	Krishna	45	Avanigadda	0	 	Taluk	Taluk	 	 	44	15.99857386	80.96609497
46	105	IND	India	2	Andhra Pradesh	8	Krishna	46	Gannavaram	0	 	Taluk	Taluk	 	 	45	16.56888608	80.70581436
47	105	IND	India	2	Andhra Pradesh	8	Krishna	47	Gudivada	0	 	Taluk	Taluk	 	 	46	16.38200836	80.97677948
48	105	IND	India	2	Andhra Pradesh	8	Krishna	48	Jaggayyapeta	0	 	Taluk	Taluk	 	 	47	16.92273924	80.13155415
49	105	IND	India	2	Andhra Pradesh	8	Krishna	49	Kaikalur	0	 	Taluk	Taluk	 	 	48	16.46239874	81.21671295
50	105	IND	India	2	Andhra Pradesh	8	Krishna	50	Machilipatnam	0	 	Taluk	Taluk	 	 	49	16.21228125	81.15141106
51	105	IND	India	2	Andhra Pradesh	8	Krishna	51	Nandigama	0	 	Taluk	Taluk	 	 	50	16.75730261	80.29081138
52	105	IND	India	2	Andhra Pradesh	8	Krishna	52	Nuzvid	0	 	Taluk	Taluk	 	 	51	16.74846038	80.86120737
53	105	IND	India	2	Andhra Pradesh	8	Krishna	53	Tiruvuru	0	 	Taluk	Taluk	 	 	52	16.98267004	80.67330831
54	105	IND	India	2	Andhra Pradesh	8	Krishna	54	Vijayawada	0	 	Taluk	Taluk	 	 	53	16.67477843	80.49975395
55	105	IND	India	2	Andhra Pradesh	9	Kurnool	55	Adoni	0	 	Taluk	Taluk	 	Emmiganuru	54	15.77634095	77.30266934
56	105	IND	India	2	Andhra Pradesh	9	Kurnool	56	Allagadda	0	 	Taluk	Taluk	 	 	55	15.18741573	78.59393662
57	105	IND	India	2	Andhra Pradesh	9	Kurnool	57	Alur	0	 	Taluk	Taluk	 	 	56	15.39119157	77.21872624
58	105	IND	India	2	Andhra Pradesh	9	Kurnool	58	Atmakur	0	 	Taluk	Taluk	 	 	57	15.88041644	78.64899069
59	105	IND	India	2	Andhra Pradesh	9	Kurnool	59	Banganapalli	0	 	Taluk	Taluk	 	Banganapalle	58	15.2977266	78.16816349
60	105	IND	India	2	Andhra Pradesh	9	Kurnool	60	Dhone	0	 	Taluk	Taluk	 	 	59	15.4015743	77.8929369
61	105	IND	India	2	Andhra Pradesh	9	Kurnool	61	Koilkuntla	0	 	Taluk	Taluk	 	 	60	15.12227472	78.2371785
62	105	IND	India	2	Andhra Pradesh	9	Kurnool	62	Kurnool	0	 	Taluk	Taluk	 	 	61	15.73672105	77.94152375
63	105	IND	India	2	Andhra Pradesh	9	Kurnool	63	Nandikotkur	0	 	Taluk	Taluk	 	 	62	15.86302432	78.33050824
64	105	IND	India	2	Andhra Pradesh	9	Kurnool	64	Nandyal	0	 	Taluk	Taluk	 	 	63	15.53380854	78.49140292
65	105	IND	India	2	Andhra Pradesh	9	Kurnool	65	Pattikonda	0	 	Taluk	Taluk	 	 	64	15.47656937	77.54911661
66	105	IND	India	2	Andhra Pradesh	10	Nellore	66	Atmakur	0	 	Taluk	Taluk	 	 	65	14.5919709	79.54862971
67	105	IND	India	2	Andhra Pradesh	10	Nellore	67	Gudur	0	 	Taluk	Taluk	 	 	66	14.04628424	79.93457031
68	105	IND	India	2	Andhra Pradesh	10	Nellore	68	Kavali	0	 	Taluk	Taluk	 	 	67	14.80743485	79.84479904
69	105	IND	India	2	Andhra Pradesh	10	Nellore	69	Kovvur	0	 	Taluk	Taluk	 	 	68	14.59967329	79.97018906
70	105	IND	India	2	Andhra Pradesh	10	Nellore	70	n.a. ( 1971)	0	 	Taluk	Taluk	 	 	69	13.76520573	80.20691224
71	105	IND	India	2	Andhra Pradesh	10	Nellore	71	n.a. ( 1975)	0	 	Taluk	Taluk	 	 	70	13.86514493	80.16069431
72	105	IND	India	2	Andhra Pradesh	10	Nellore	72	n.a. ( 1983)	0	 	Taluk	Taluk	 	 	71	13.7458788	80.09639756
73	105	IND	India	2	Andhra Pradesh	10	Nellore	73	n.a. ( 1991)	0	 	Taluk	Taluk	 	 	72	13.64655623	80.13043367
74	105	IND	India	2	Andhra Pradesh	10	Nellore	74	n.a. ( 1992)	0	 	Taluk	Taluk	 	 	73	13.67377464	80.10433866
75	105	IND	India	2	Andhra Pradesh	10	Nellore	75	n.a. ( 1997)	0	 	Taluk	Taluk	 	 	74	13.6436443	80.10428288
76	105	IND	India	2	Andhra Pradesh	10	Nellore	76	n.a. ( 1998)	0	 	Taluk	Taluk	 	 	75	13.63872835	80.09458037
77	105	IND	India	2	Andhra Pradesh	10	Nellore	77	n.a. ( 2000)	0	 	Taluk	Taluk	 	 	76	13.58328819	80.14596644
78	105	IND	India	2	Andhra Pradesh	10	Nellore	78	n.a. ( 2002)	0	 	Taluk	Taluk	 	 	77	13.58785428	80.05476806
79	105	IND	India	2	Andhra Pradesh	10	Nellore	79	Nellore	0	 	Taluk	Taluk	 	 	78	14.35145745	79.98801465
80	105	IND	India	2	Andhra Pradesh	10	Nellore	80	Rapur	0	 	Taluk	Taluk	 	 	79	14.30415273	79.59543082
81	105	IND	India	2	Andhra Pradesh	10	Nellore	81	Suluru	0	 	Taluk	Taluk	 	Sulurpet	80	13.7889077	79.97294234
82	105	IND	India	2	Andhra Pradesh	10	Nellore	82	Udayagiri	0	 	Taluk	Taluk	 	 	81	14.87222103	79.32735309
83	105	IND	India	2	Andhra Pradesh	10	Nellore	83	Venkatagiri	0	 	Taluk	Taluk	 	 	82	13.99773211	79.62431917
84	105	IND	India	2	Andhra Pradesh	11	Prakasam	84	Addanki	0	 	Taluk	Taluk	 	 	83	15.88695334	80.02849515
85	105	IND	India	2	Andhra Pradesh	11	Prakasam	85	Chirala	0	 	Taluk	Taluk	 	 	84	15.86779296	80.28872681
86	105	IND	India	2	Andhra Pradesh	11	Prakasam	86	Darsi	0	 	Taluk	Taluk	 	 	85	15.81081867	79.62717819
87	105	IND	India	2	Andhra Pradesh	11	Prakasam	87	Giddalur	0	 	Taluk	Taluk	 	 	86	15.46934247	78.95362449
88	105	IND	India	2	Andhra Pradesh	11	Prakasam	88	Kandukur	0	 	Taluk	Taluk	 	 	87	15.20357839	79.8459067
89	105	IND	India	2	Andhra Pradesh	11	Prakasam	89	Kanigiri	0	 	Taluk	Taluk	 	 	88	15.2727804	79.37627952
90	105	IND	India	2	Andhra Pradesh	11	Prakasam	90	Markapur	0	 	Taluk	Taluk	 	 	89	15.99081491	79.19727418
91	105	IND	India	2	Andhra Pradesh	11	Prakasam	91	Ongole	0	 	Taluk	Taluk	 	 	90	15.51971112	80.01444291
92	105	IND	India	2	Andhra Pradesh	11	Prakasam	92	Podili	0	 	Taluk	Taluk	 	 	91	15.58371616	79.50556335
93	105	IND	India	2	Andhra Pradesh	12	Srikakulam	93	Chipurupalle	0	 	Taluk	Taluk	 	 	92	18.2746845	83.66861653
94	105	IND	India	2	Andhra Pradesh	12	Srikakulam	94	Ichchapuram	0	 	Taluk	Taluk	 	 	93	19.05503914	84.71868324
95	105	IND	India	2	Andhra Pradesh	12	Srikakulam	95	Narsannapeta	0	 	Taluk	Taluk	 	 	94	18.43916514	84.07490527
96	105	IND	India	2	Andhra Pradesh	12	Srikakulam	96	Palakonda	0	 	Taluk	Taluk	 	 	95	18.57494056	83.70602422
97	105	IND	India	2	Andhra Pradesh	12	Srikakulam	97	Pathapatnam	0	 	Taluk	Taluk	 	 	96	18.65392722	84.04543304
98	105	IND	India	2	Andhra Pradesh	12	Srikakulam	98	Sompeta	0	 	Taluk	Taluk	 	 	97	18.89934957	84.5022792
99	105	IND	India	2	Andhra Pradesh	12	Srikakulam	99	Srikakulam	0	 	Taluk	Taluk	 	 	98	18.30201191	83.97527313
100	105	IND	India	2	Andhra Pradesh	12	Srikakulam	100	Tekkali	0	 	Taluk	Taluk	 	 	99	18.63910473	84.29914518
101	105	IND	India	2	Andhra Pradesh	13	Visakhapatnam	101	Anakapalli	0	 	Taluk	Taluk	 	 	100	17.68282482	83.0007197
102	105	IND	India	2	Andhra Pradesh	13	Visakhapatnam	102	Bhimunipatnam	0	 	Taluk	Taluk	 	 	101	17.9065493	83.33245776
103	105	IND	India	2	Andhra Pradesh	13	Visakhapatnam	103	Chintapalle	0	 	Taluk	Taluk	 	 	102	17.83160494	82.25071056
104	105	IND	India	2	Andhra Pradesh	13	Visakhapatnam	104	Chodavaram	0	 	Taluk	Taluk	 	 	103	17.90370745	82.87132046
105	105	IND	India	2	Andhra Pradesh	13	Visakhapatnam	105	n.a. ( 1651)	0	 	Taluk	Taluk	 	 	104	18.21033985	83.00914574
106	105	IND	India	2	Andhra Pradesh	13	Visakhapatnam	106	Narsipatnam	0	 	Taluk	Taluk	 	 	105	17.60436212	82.5570212
107	105	IND	India	2	Andhra Pradesh	13	Visakhapatnam	107	Paderu	0	 	Taluk	Taluk	 	 	106	18.22712948	82.50289154
108	105	IND	India	2	Andhra Pradesh	13	Visakhapatnam	108	Vishakhapatnam	0	 	Taluk	Taluk	 	 	107	17.71882179	83.22821802
109	105	IND	India	2	Andhra Pradesh	13	Visakhapatnam	109	Yellamanchili	0	 	Taluk	Taluk	 	 	108	17.45360446	82.77919281
110	105	IND	India	2	Andhra Pradesh	14	Vizianagaram	110	Bobbili	0	 	Taluk	Taluk	 	 	109	18.55312366	83.42221646
111	105	IND	India	2	Andhra Pradesh	14	Vizianagaram	111	Gajapatinagaram	0	 	Taluk	Taluk	 	 	110	18.32275591	83.30810264
112	105	IND	India	2	Andhra Pradesh	14	Vizianagaram	112	n.a. ( 1607)	0	 	Taluk	Taluk	 	 	111	18.68510713	83.10369349
113	105	IND	India	2	Andhra Pradesh	14	Vizianagaram	113	Parvathipuram	0	 	Taluk	Taluk	 	 	112	18.87564163	83.53550413
114	105	IND	India	2	Andhra Pradesh	14	Vizianagaram	114	Puspatirega	0	 	Taluk	Taluk	 	 	113	18.03784696	83.48834005
115	105	IND	India	2	Andhra Pradesh	14	Vizianagaram	115	Salur	0	 	Taluk	Taluk	 	 	114	18.53224635	83.17837078
116	105	IND	India	2	Andhra Pradesh	14	Vizianagaram	116	Srungavarapukota	0	 	Taluk	Taluk	 	 	115	18.01863667	83.15949368
117	105	IND	India	2	Andhra Pradesh	14	Vizianagaram	117	Vizianagaram	0	 	Taluk	Taluk	 	 	116	18.17235627	83.40083665
118	105	IND	India	2	Andhra Pradesh	15	West Godavari	118	Bhimavaram	0	 	Taluk	Taluk	 	 	117	16.5506666	81.47425646
119	105	IND	India	2	Andhra Pradesh	15	West Godavari	119	Chintalapudi	0	 	Taluk	Taluk	 	 	118	17.03650121	81.09015605
120	105	IND	India	2	Andhra Pradesh	15	West Godavari	120	Eluru	0	 	Taluk	Taluk	 	 	119	16.76169487	81.17613401
121	105	IND	India	2	Andhra Pradesh	15	West Godavari	121	Kovvur	0	 	Taluk	Taluk	 	 	120	17.01895917	81.57757568
122	105	IND	India	2	Andhra Pradesh	15	West Godavari	122	Narsapur	0	 	Taluk	Taluk	 	 	121	16.52414818	81.76112175
123	105	IND	India	2	Andhra Pradesh	15	West Godavari	123	Polavaram	0	 	Taluk	Taluk	 	 	122	17.25340547	81.40164347
124	105	IND	India	2	Andhra Pradesh	15	West Godavari	124	Tadepallegudem	0	 	Taluk	Taluk	 	 	123	16.83186755	81.45656032
125	105	IND	India	2	Andhra Pradesh	15	West Godavari	125	Tanuku	0	 	Taluk	Taluk	 	 	124	16.70752619	81.67607331
126	105	IND	India	2	Andhra Pradesh	16	Y.S.R.	126	Badvel	0	 	Taluk	Taluk	 	 	125	14.91726493	78.94584855
127	105	IND	India	2	Andhra Pradesh	16	Y.S.R.	127	Cuddapah	0	 	Taluk	Taluk	 	 	126	14.46974226	78.73371337
128	105	IND	India	2	Andhra Pradesh	16	Y.S.R.	128	Jammalamadugu	0	 	Taluk	Taluk	 	 	127	14.83359916	78.30551576
129	105	IND	India	2	Andhra Pradesh	16	Y.S.R.	129	Kamalapuram	0	 	Taluk	Taluk	 	 	128	14.57146664	78.50997078
130	105	IND	India	2	Andhra Pradesh	16	Y.S.R.	130	Proddatur	0	 	Taluk	Taluk	 	 	129	14.81058894	78.66851822
131	105	IND	India	2	Andhra Pradesh	16	Y.S.R.	131	Pulivendla	0	 	Taluk	Taluk	 	 	130	14.47507835	78.24422342
132	105	IND	India	2	Andhra Pradesh	16	Y.S.R.	132	Rajampet	0	 	Taluk	Taluk	 	 	131	14.06534077	79.235682
133	105	IND	India	2	Andhra Pradesh	16	Y.S.R.	133	Rayachoti	0	 	Taluk	Taluk	 	 	132	14.09325603	78.7307691
134	105	IND	India	2	Andhra Pradesh	16	Y.S.R.	134	Sidhout	0	 	Taluk	Taluk	 	 	133	14.46721941	79.06848105
135	105	IND	India	3	Arunachal Pradesh	17	Anjaw	135	Tezu	0	 	Taluk	Taluk	 	Lohit	134	28.07219288	96.82692131
136	105	IND	India	3	Arunachal Pradesh	18	Changlang	136	n.a. ( 347)	0	 	Taluk	Taluk	 	 	135	27.47730342	96.40230179
137	105	IND	India	3	Arunachal Pradesh	19	Dibang Valley	137	Amini	0	 	Taluk	Taluk	 	Dibang valley	136	28.95510068	95.94281647
138	105	IND	India	3	Arunachal Pradesh	20	East Kameng	138	Seepa	0	 	Taluk	Taluk	 	East kameng	137	27.2939969	93.03203401
139	105	IND	India	3	Arunachal Pradesh	21	East Siang	139	Pasighat	0	 	Taluk	Taluk	 	East siang	138	28.01235603	95.15631866
140	105	IND	India	3	Arunachal Pradesh	22	Kurung Kumey	140	Itanagar	0	 	Taluk	Taluk	 	Lower subansiri	139	28.03804909	93.31778108
141	105	IND	India	3	Arunachal Pradesh	23	Lohit	141	Tezu	0	 	Taluk	Taluk	 	Lohit	140	27.87088916	96.2282024
142	105	IND	India	3	Arunachal Pradesh	24	Longding	142	Tirap	0	 	Taluk	Taluk	 	 	141	26.78481971	95.37506104
143	105	IND	India	3	Arunachal Pradesh	25	Lower Dibang Valley	143	Amini	0	 	Taluk	Taluk	 	Dibang valley	142	28.36396227	95.81779899
144	105	IND	India	3	Arunachal Pradesh	26	Lower Subansiri	144	Itanagar	0	 	Taluk	Taluk	 	Lower subansiri	143	27.67110703	93.87234807
145	105	IND	India	3	Arunachal Pradesh	27	Namsai	145	Tezu	0	 	Taluk	Taluk	 	Lohit	144	27.65256723	95.89965379
146	105	IND	India	3	Arunachal Pradesh	28	Papum Pare	146	Itanagar	0	 	Taluk	Taluk	 	Lower subansiri	145	27.28521688	93.46107292
147	105	IND	India	3	Arunachal Pradesh	29	Tawang	147	Tawang	0	 	Taluk	Taluk	 	 	146	27.59402953	91.93539047
148	105	IND	India	3	Arunachal Pradesh	30	Tirap	148	Tirap	0	 	Taluk	Taluk	 	 	147	27.03456827	95.53014317
149	105	IND	India	3	Arunachal Pradesh	31	Upper Siang	149	Along	0	 	Taluk	Taluk	 	West siang	148	28.82834932	94.90818664
150	105	IND	India	3	Arunachal Pradesh	32	Upper Subansiri	150	Daporijo	0	 	Taluk	Taluk	 	Upper subansiri	149	28.29168432	93.9324665
151	105	IND	India	3	Arunachal Pradesh	33	West Kameng	151	Bomdila	0	 	Taluk	Taluk	 	West kameng	150	27.43389881	92.51480639
152	105	IND	India	3	Arunachal Pradesh	34	West Siang	152	Along	0	 	Taluk	Taluk	 	West siang	151	28.18254987	94.70849228
153	105	IND	India	4	Assam	35	Baksa	153	Berpeta	0	 	Taluk	Taluk	 	Barpeta	152	26.66690659	91.05791473
154	105	IND	India	4	Assam	35	Baksa	154	Guwahati	0	 	Taluk	Taluk	 	Kamrup	153	26.58706232	91.71137713
155	105	IND	India	4	Assam	35	Baksa	155	Nalbari	0	 	Taluk	Taluk	 	 	154	26.67116065	91.48105748
156	105	IND	India	4	Assam	36	Barpeta	156	Berpeta	0	 	Taluk	Taluk	 	Barpeta	155	26.33773804	91.00368935
157	105	IND	India	4	Assam	37	Bongaigaon	157	Kokrajhar	0	 	Taluk	Taluk	 	 	156	26.34628122	90.6135107
158	105	IND	India	4	Assam	38	Cachar	158	Silchar	0	 	Taluk	Taluk	 	 	157	24.81377548	92.85752056
159	105	IND	India	4	Assam	39	Chirang	159	Kokrajhar	0	 	Taluk	Taluk	 	 	158	26.62701503	90.6784655
160	105	IND	India	4	Assam	40	Darrang	160	Mangaldai	0	 	Taluk	Taluk	 	Darrang	159	26.39434903	91.90503883
161	105	IND	India	4	Assam	41	Dhemaji	161	Dhemaji	0	 	Taluk	Taluk	 	 	160	27.5903576	94.78022274
162	105	IND	India	4	Assam	42	Dhubri	162	Gauripur	0	 	Taluk	Taluk	 	Dhuburi	161	26.1038972	90.02970486
163	105	IND	India	4	Assam	43	Dibrugarh	163	Dibrugarh	0	 	Taluk	Taluk	 	 	162	27.3714173	95.05490893
164	105	IND	India	4	Assam	44	Dima Hasao	164	Haflong	0	 	Taluk	Taluk	 	North cachar hills	163	25.38010461	93.0339506
165	105	IND	India	4	Assam	45	Goalpara	165	Goalpara	0	 	Taluk	Taluk	 	 	164	26.04803491	90.60869689
166	105	IND	India	4	Assam	46	Golaghat	166	Golaghat	0	 	Taluk	Taluk	 	 	165	26.70566769	93.73334503
167	105	IND	India	4	Assam	47	Hailakandi	167	Hailakandi	0	 	Taluk	Taluk	 	 	166	24.49649776	92.58903387
168	105	IND	India	4	Assam	48	Jorhat	168	Jorhat	0	 	Taluk	Taluk	 	 	167	26.79524644	94.27414916
169	105	IND	India	4	Assam	49	Kamrup Metropolitan	169	Guwahati	0	 	Taluk	Taluk	 	Kamrup	168	26.13140438	91.93086808
170	105	IND	India	4	Assam	50	Kamrup	170	Guwahati	0	 	Taluk	Taluk	 	Kamrup	169	25.99767009	91.37853622
171	105	IND	India	4	Assam	51	Karbi Anglong	171	Diphu	0	 	Taluk	Taluk	 	 	170	26.15863826	93.40706499
172	105	IND	India	4	Assam	51	Karbi Anglong	172	n.a. ( 571)	0	 	Taluk	Taluk	 	 	171	25.77266006	92.61353683
173	105	IND	India	4	Assam	52	Karimganj	173	Karimganj	0	 	Taluk	Taluk	 	 	172	24.57872695	92.38083912
174	105	IND	India	4	Assam	53	Kokrajhar	174	Kokrajhar	0	 	Taluk	Taluk	 	 	173	26.58434301	90.19811008
175	105	IND	India	4	Assam	54	Lakhimpur	175	Lakhimpur	0	 	Taluk	Taluk	 	North lakhimpur	174	27.1743511	94.13502058
176	105	IND	India	4	Assam	55	Morigaon	176	Nagaon	0	 	Taluk	Taluk	 	 	175	26.28572399	92.28019515
177	105	IND	India	4	Assam	56	Nagaon	177	Nagaon	0	 	Taluk	Taluk	 	 	176	26.04494724	92.86237717
178	105	IND	India	4	Assam	57	Nalbari	178	Nalbari	0	 	Taluk	Taluk	 	 	177	26.37544176	91.38392877
179	105	IND	India	4	Assam	58	Sivasagar	179	Sibsagar	0	 	Taluk	Taluk	 	 	178	26.98610952	94.64395523
180	105	IND	India	4	Assam	59	Sonitpur	180	Tezpur	0	 	Taluk	Taluk	 	Sonitpur	179	26.78257766	92.92733398
181	105	IND	India	4	Assam	60	Tinsukia	181	Chapakhowa	0	 	Taluk	Taluk	 	Sadiya	180	27.87504118	95.71705474
182	105	IND	India	4	Assam	60	Tinsukia	182	Tinsukia	0	 	Taluk	Taluk	 	 	181	27.5078155	95.60145115
183	105	IND	India	4	Assam	61	Udalguri	183	Mangaldai	0	 	Taluk	Taluk	 	Darrang	182	26.73321037	92.01966262
184	105	IND	India	5	Bihar	62	Araria	184	Araria	0	 	Taluk	Taluk	 	 	183	26.20080642	87.34623316
185	105	IND	India	5	Bihar	63	Arwal	185	Jahanabad	0	 	Taluk	Taluk	 	 	184	25.16274853	84.68284214
186	105	IND	India	5	Bihar	64	Aurangabad	186	Aurangabad	0	 	Taluk	Taluk	 	 	185	24.79362482	84.40448204
187	105	IND	India	5	Bihar	65	Banka	187	Banka	0	 	Taluk	Taluk	 	 	186	24.85193493	86.83421591
188	105	IND	India	5	Bihar	66	Begusarai	188	Begusarai	0	 	Taluk	Taluk	 	 	187	25.49560022	86.12361437
189	105	IND	India	5	Bihar	67	Bhagalpur	189	Bhagalpur	0	 	Taluk	Taluk	 	 	188	25.16737012	87.0900116
190	105	IND	India	5	Bihar	67	Bhagalpur	190	Naugachhia	0	 	Taluk	Taluk	 	 	189	25.38116415	87.01977158
191	105	IND	India	5	Bihar	68	Bhojpur	191	Ara	0	 	Taluk	Taluk	 	 	190	25.47040473	84.53556133
192	105	IND	India	5	Bihar	69	Buxar	192	Buxar	0	 	Taluk	Taluk	 	 	191	25.4931557	84.09350224
193	105	IND	India	5	Bihar	70	Darbhanga	193	Benipur	0	 	Taluk	Taluk	 	 	192	26.04367433	86.17311225
194	105	IND	India	5	Bihar	70	Darbhanga	194	Darbhanga	0	 	Taluk	Taluk	 	 	193	26.18809708	85.85649337
195	105	IND	India	5	Bihar	71	Gaya	195	Gaya	0	 	Taluk	Taluk	 	 	194	24.69868487	84.92838202
196	105	IND	India	5	Bihar	72	Gopalganj	196	Gopalganj	0	 	Taluk	Taluk	 	 	195	26.48023638	84.40135193
